rowId,PROGRAM_WORKING_ID,MESSAGE,DATE_CREATED
347,57,,2025-05-27 12:58:27.1834867
348,57,M01 	Cutting override zero         	0102,2025-05-27 12:58:29.2531315
349,57,,2025-05-27 12:58:30.0919256
350,58,M01 	Cutting override zero         	0102,2025-05-27 12:59:01.4638463
351,58,,2025-05-27 12:59:02.2763628
352,59,M01 	Cutting override zero         	0102,2025-05-27 12:59:59.3706538
353,59,,2025-05-27 13:00:00.7159236
354,60,M01 	Cutting override zero         	0102,2025-05-27 13:00:51.1939865
355,60,,2025-05-27 13:00:52.5092158
356,60,M01 	Cutting override zero         	0102,2025-05-27 13:00:56.4348913
357,60,,2025-05-27 13:00:56.9646095
358,60,M01 	Cutting override zero         	0102,2025-05-27 13:01:00.0810773
359,60,,2025-05-27 13:01:00.6320672
360,61,M01 	Cutting override zero         	0102,2025-05-27 13:02:08.7745783
361,61,,2025-05-27 13:02:10.3724836
362,62,M01 	Cutting override zero         	0102,2025-05-27 13:03:31.9669889
363,62,,2025-05-27 13:03:33.0501196
364,-1,M01 	Cutting override zero         	0102,2025-05-27 13:04:53.1415712
365,-1,,2025-05-27 13:04:54.2222421
366,-1,M01 	Cutting override zero         	0102,2025-05-27 13:05:41.4658473
367,-1,,2025-05-27 13:05:42.2829398
368,-1,M01 	Cutting override zero         	0102,2025-05-27 13:05:51.9997246
369,-1,,2025-05-27 13:05:52.5203764
370,-1,M01 	Cutting override zero         	0102,2025-05-27 13:05:54.869907
371,-1,,2025-05-27 13:05:55.6973671
372,-1,M01 	Cutting override zero         	0102,2025-05-27 13:06:06.20085
373,-1,,2025-05-27 13:06:06.6983792
374,64,M01 	Cutting override zero         	0102,2025-05-27 13:07:09.5257301
375,64,,2025-05-27 13:07:10.8528704
376,-1,M01 	Cutting override zero         	0102,2025-05-27 13:07:42.3383471
377,-1,,2025-05-27 13:07:44.1184296
378,65,M01 	Cutting override zero         	0102,2025-05-27 13:10:51.0251876
379,65,,2025-05-27 13:10:51.2862918
380,65,M01 	Cutting override zero         	0102,2025-05-27 13:10:54.6569039
381,65,,2025-05-27 13:10:55.2108944
382,65,M01 	Cutting override zero         	0102,2025-05-27 13:10:55.6983445
383,65,,2025-05-27 13:10:56.7777291
